type,theme,time,day,eng,total.eng
texte+lien,Information,11h-14h,Tuesday,1,pas d'engagement
texte+photo,Identite,11h-14h,Thursday,1,pas d'engagement
texte+photo,Identite,Avant 9h,Friday,1,pas d'engagement
texte+lien,Identite,14h-17h,Sunday,1,pas d'engagement
texte+photo,Identite,Avant 9h,Monday,1,pas d'engagement
texte+video,Identite,Avant 9h,Thursday,1,pas d'engagement
texte+lien,Identite,11h-14h,Wednesday,1,pas d'engagement
texte,Identite,Après 19h,Tuesday,1,pas d'engagement
texte,Identite,Après 19h,Tuesday,1,pas d'engagement
texte,Identite,Avant 9h,Wednesday,1,pas d'engagement
texte+lien+photo,Identite,14h-17h,Friday,1,pas d'engagement
texte+lien+photo,Identite,Avant 9h,Wednesday,1,pas d'engagement
texte,Administration,11h-14h,Monday,1,pas d'engagement
texte+lien,Information,Avant 9h,Wednesday,1,pas d'engagement
texte+photo,Identite,11h-14h,Wednesday,1,pas d'engagement
texte+lien+photo,Identite,11h-14h,Wednesday,1,pas d'engagement
texte+lien+photo,Identite,17h-19h,Wednesday,1,pas d'engagement
texte+lien,Identite,11h-14h,Friday,1,pas d'engagement
texte+lien+photo,Identite,Avant 9h,Monday,1,pas d'engagement
texte+lien+photo,Identite,Après 19h,Monday,1,pas d'engagement
texte+lien+photo,Identite,11h-14h,Wednesday,1,pas d'engagement
texte+lien+photo,Identite,11h-14h,Wednesday,1,pas d'engagement
texte+lien+photo,Identite,11h-14h,Wednesday,1,pas d'engagement
texte+lien+photo,Identite,11h-14h,Wednesday,1,pas d'engagement
texte+lien+photo,Identite,11h-14h,Wednesday,1,pas d'engagement
texte+lien+photo,Identite,14h-17h,Wednesday,1,pas d'engagement
texte+lien+photo,Identite,14h-17h,Wednesday,1,pas d'engagement
texte+lien+photo,Identite,14h-17h,Wednesday,1,pas d'engagement
texte+lien+photo,Identite,14h-17h,Wednesday,1,pas d'engagement
texte+lien+photo,Education,14h-17h,Monday,1,pas d'engagement
texte+lien+photo,Information,17h-19h,Thursday,1,pas d'engagement
texte+lien+photo,Identite,9h-11h,Sunday,1,pas d'engagement
texte+lien+photo,Identite,14h-17h,Sunday,1,pas d'engagement
