day,time,Time,type,theme,nbr likes,nbr share,nbr comment,eng,total.eng
Wednesday,15:23,14h-17h,text+link+photo,Identite,34,1,1,36,Engagement intermédiaire
Monday,14:22,14h-17h,text+link+photo,Identite,32,2,1,35,Engagement intermédiaire
Monday,22:24,Après 19h,text+link+photo,Information,41,1,1,43,Engagement intermédiaire
Tuesday,10:53,9h-11h,text+photo,Identite,47,3,1,51,Engagement intermédiaire
Monday,9:30,9h-11h,text+link+video,Identite,40,3,1,44,Engagement intermédiaire
Saturday,8:05,Avant 9h,text+link,Identite,58,19,1,78,Engagement intermédiaire
Thursday,14:22,14h-17h,text+link+photo,Administration,14,0,1,15,engagement faible
Friday,20:26,Après 19h,text+photo,Identite,7,0,1,8,pas d'engagement
Friday,10:59,9h-11h,text+link,Identite,72,18,1,91,Engagement fort
Thursday,9:41,9h-11h,photo,Identite,62,1,1,64,Engagement intermédiaire
Wednesday,13:47,11h-14h,text+photo,Identite,66,6,1,73,Engagement intermédiaire
Monday,12:09,11h-14h,text+link+photo,Identite,64,11,1,76,Engagement intermédiaire
Friday,14:36,14h-17h,text+photo,Education,12,2,1,15,engagement faible
Friday,13:04,11h-14h,text+photo,Identite,8,5,1,14,engagement faible
Tuesday,11:22,11h-14h,text+photo,Identite,38,2,1,41,Engagement intermédiaire
Thursday,13:04,11h-14h,text+photo,Administration,21,0,1,22,engagement faible
Monday,10:58,9h-11h,photo,Identite,68,0,1,69,Engagement intermédiaire
Wednesday,10:24,9h-11h,text+video,Identite,176,14,1,191,Engagement fort
Friday,14:21,14h-17h,text+photo,Identite,70,7,1,78,Engagement intermédiaire
Wednesday,11:20,11h-14h,text+link+photo,Identite,19,3,1,23,engagement faible
Saturday,16:30,14h-17h,text+link,Administration,22,0,1,23,engagement faible
Saturday,16:28,14h-17h,text+link,Administration,13,1,1,15,engagement faible
Thursday,14:59,14h-17h,text+link,Administration,29,4,1,34,Engagement intermédiaire
Wednesday,19:51,Après 19h,link,Identite,21,0,1,22,engagement faible
Thursday,11:00,9h-11h,text+link,Administration,4,0,1,5,pas d'engagement
Thursday,10:30,9h-11h,text+link,Administration,16,1,1,18,engagement faible
Wednesday,4:38,Avant 9h,text+link,Administration,21,5,1,27,engagement faible
Tuesday,8:48,Avant 9h,text+photo,Relation,62,5,1,68,Engagement intermédiaire
Thursday,16:56,14h-17h,text+link+photo,Relation,60,5,1,66,Engagement intermédiaire
Wednesday,14:43,14h-17h,text+link,Administration,33,4,1,38,Engagement intermédiaire
Tuesday,9:52,9h-11h,text+link,Identite,18,0,1,19,engagement faible
Tuesday,12:04,11h-14h,text,Information,49,5,1,55,Engagement intermédiaire
Friday,12:03,11h-14h,text+photo,Identite,51,0,1,52,Engagement intermédiaire
Wednesday,9:37,9h-11h,text+link,Identite,74,3,1,78,Engagement intermédiaire
Sunday,10:20,9h-11h,text+video,Identite,25,5,1,31,Engagement intermédiaire
Friday,16:41,14h-17h,text+link,Information,116,16,1,133,Engagement fort
Wednesday,14:48,14h-17h,text+photo,Identite,62,19,1,82,Engagement fort
Friday,14:33,14h-17h,text+link,Administration,37,3,1,41,Engagement intermédiaire
Wednesday,13:27,11h-14h,text+video,Identite,70,12,1,83,Engagement fort
Monday,12:03,11h-14h,text+video,Identite,35,0,1,36,Engagement intermédiaire
Friday,22:59,Après 19h,text+photo,Identite,39,2,1,42,Engagement intermédiaire
Wednesday,12:18,11h-14h,text+photo,Identite,99,15,1,115,Engagement fort
Thursday,2:25,Avant 9h,text+video,Identite,103,13,1,117,Engagement fort
Thursday,7:32,Avant 9h,text+photo,Information,102,2,1,105,Engagement fort
Friday,11:25,11h-14h,text+video,Relation,22,2,1,25,engagement faible
Friday,11:00,9h-11h,text+photo,Identite,12,0,1,13,engagement faible
Friday,17:39,17h-19h,text+link ,Identite,18,18,1,37,Engagement intermédiaire
Thursday,11:52,11h-14h,text+link ,Identite,43,2,1,46,Engagement intermédiaire
Wednesday,18:08,17h-19h,text+photo ,Identite,75,5,1,81,Engagement fort
Tuesday,14:09,14h-17h,text+link,Identite,46,2,1,49,Engagement intermédiaire
Monday,16:50,14h-17h,text+link,Identite,31,0,1,32,Engagement intermédiaire
Saturday,11:15,11h-14h,text+link ,Identite,50,13,1,64,Engagement intermédiaire
Monday,16:32,14h-17h,text+link+photo,Identite,23,3,1,27,engagement faible
Thursday,8:49,Avant 9h,text+link,Administration,8,0,1,9,pas d'engagement
Tuesday,19:17,Après 19h,text+link ,Identite,81,8,1,90,Engagement fort
Monday,13:06,11h-14h,text+link,Identite,43,3,1,47,Engagement intermédiaire
Sunday,10:07,9h-11h,text+link,Identite,78,9,1,88,Engagement fort
Sunday,12:32,11h-14h,text+link,Identite,37,3,1,41,Engagement intermédiaire
Monday,16:54,14h-17h,text+link+photo,Information,57,4,0,61,Engagement intermédiaire
Monday,15:49,14h-17h,link,Identite,18,0,0,18,engagement faible
Thursday,10:50,9h-11h,link,Identite,57,0,0,57,Engagement intermédiaire
Thursday,12:09,11h-14h,text+link+photo,Identite,58,2,0,60,Engagement intermédiaire
Wednesday,10:10,9h-11h,text+link,Identite,33,1,0,34,Engagement intermédiaire
Tuesday,10:05,9h-11h,text+link+video,Identite,28,0,0,28,engagement faible
Friday,9:15,9h-11h,text+link+video,Identite,22,0,0,22,engagement faible
Tuesday,15:41,14h-17h,text+link+photo,Identite,58,4,0,62,Engagement intermédiaire
Friday,12:42,11h-14h,video,Identite,55,0,0,55,Engagement intermédiaire
Friday,12:02,11h-14h,link,Identite,14,0,0,14,engagement faible
Wednesday,17:50,17h-19h,text+link+photo,Information,53,2,0,55,Engagement intermédiaire
Monday,12:41,11h-14h,video,Identite,132,2,0,134,Engagement fort
Wednesday,21:23,Après 19h,text+photo,Relation,150,11,0,161,Engagement fort
Friday,13:35,11h-14h,text+link,Identite,9,0,0,9,pas d'engagement
Wednesday,14:18,14h-17h,text+photo,Identite,64,12,0,76,Engagement intermédiaire
Wednesday,10:21,9h-11h,text+link,Identite,16,4,0,20,engagement faible
Tuesday,12:04,11h-14h,text+link+photo,Identite,46,6,0,52,Engagement intermédiaire
Monday,13:06,11h-14h,text+photo,Identite,85,5,0,90,Engagement fort
Monday,12:50,11h-14h,text+link+photo,Identite,19,10,0,29,engagement faible
Friday,15:40,14h-17h,text,Administration,13,2,0,15,engagement faible
Friday,10:06,9h-11h,text+photo,Identite,6,0,0,6,pas d'engagement
Tuesday,13:53,11h-14h,text+link+photo,Identite,82,12,0,94,Engagement fort
Friday,13:51,11h-14h,link,Identite,38,0,0,38,Engagement intermédiaire
Friday,11:09,11h-14h,text+photo,Identite,15,1,0,16,engagement faible
Thursday,14:05,14h-17h,text+link+photo,Identite,44,12,0,56,Engagement intermédiaire
Wednesday,14:44,14h-17h,text+link+photo,Administration,15,1,0,16,engagement faible
Wednesday,13:44,11h-14h,text+photo,Identite,58,7,0,65,Engagement intermédiaire
Tuesday,12:30,11h-14h,text+link+photo,Identite,21,6,0,27,engagement faible
Tuesday,8:09,Avant 9h,text+link,Identite,11,0,0,11,engagement faible
Monday,15:42,14h-17h,text+link,Information,76,13,0,89,Engagement fort
Monday,13:52,11h-14h,text+link+photo,Administration,22,0,0,22,engagement faible
Monday,9:25,9h-11h,text+photo,Information,102,7,0,109,Engagement fort
Friday,22:24,Après 19h,link,Identite,5,0,0,5,pas d'engagement
Thursday,14:02,14h-17h,text+link+photo,Recherche,38,14,0,52,Engagement intermédiaire
Wednesday,15:25,14h-17h,video,Identite,40,7,0,47,Engagement intermédiaire
Wednesday,12:49,11h-14h,text+link+photo,Administration,17,7,0,24,engagement faible
Tuesday,11:02,11h-14h,link,Identite,5,0,0,5,pas d'engagement
Monday,11:14,11h-14h,link,Administration,18,4,0,22,engagement faible
Monday,11:04,11h-14h,link,Identite,7,0,0,7,pas d'engagement
Friday,10:31,9h-11h,text+photo,Identite,10,0,0,10,pas d'engagement
Wednesday,10:55,9h-11h,link,Identite,21,1,0,22,engagement faible
Thursday,12:34,11h-14h,text+photo,Identite,34,1,0,35,Engagement intermédiaire
Wednesday,14:24,14h-17h,text+photo,Identite,96,1,0,97,Engagement fort
Wednesday,10:52,9h-11h,text+link,Identite,8,0,0,8,pas d'engagement
Wednesday,10:47,9h-11h,text+link,Administration,9,0,0,9,pas d'engagement
Friday,15:16,14h-17h,text+link,Administration,6,0,0,6,pas d'engagement
Friday,15:08,14h-17h,text,Administration,15,3,0,18,engagement faible
Wednesday,14:00,11h-14h,text+link,Administration,22,2,0,24,engagement faible
Wednesday,9:49,9h-11h,text+link,Administration,8,2,0,10,pas d'engagement
Tuesday,15:59,14h-17h,text+link+photo,Identite,77,28,0,105,Engagement fort
Tuesday,15:24,14h-17h,text+link+photo,Identite,82,26,0,108,Engagement fort
Tuesday,14:45,14h-17h,photo,Identite,56,4,0,60,Engagement intermédiaire
Tuesday,14:00,11h-14h,text+video,Administration,68,19,0,87,Engagement fort
Tuesday,10:08,9h-11h,text+photo,Identite,20,5,0,25,engagement faible
Tuesday,9:18,9h-11h,text+link+photo,Identite,84,2,0,86,Engagement fort
Friday,10:17,9h-11h,text+link+photo,Administration,31,9,0,40,Engagement intermédiaire
Wednesday,11:36,11h-14h,text+link+photo,Education,34,11,0,45,Engagement intermédiaire
Wednesday,10:57,9h-11h,text+link,Identite,10,0,0,10,pas d'engagement
Monday,11:55,11h-14h,text+photo,Identite,29,10,0,39,Engagement intermédiaire
Monday,8:57,Avant 9h,text+photo,Administration,184,14,0,198,Engagement fort
Friday,16:18,14h-17h,text+link+photo,Identite,97,16,0,113,Engagement fort
Thursday,1:25,Avant 9h,text+link+photo,Identite,19,2,0,21,engagement faible
Thursday,1:04,Avant 9h,text,Administration,9,1,0,10,pas d'engagement
Thursday,9:55,9h-11h,text+photo,Information,77,8,0,85,Engagement fort
Wednesday,11:48,11h-14h,link,Identite,1,0,0,1,pas d'engagement
Wednesday,9:18,9h-11h,text+photo,Identite,51,2,0,53,Engagement intermédiaire
Tuesday,9:18,9h-11h,text+link+photo,Identite,65,4,0,69,Engagement intermédiaire
Monday,10:36,9h-11h,text+photo,Identite,27,9,0,36,Engagement intermédiaire
Friday,12:20,11h-14h,text+link+photo,Identite,45,11,0,56,Engagement intermédiaire
Friday,11:46,11h-14h,text+link+photo,Identite,81,19,0,100,Engagement fort
Thursday,13:07,11h-14h,text+photo,Administration,19,0,0,19,engagement faible
Wednesday,10:12,9h-11h,text+link+photo,Information,26,11,0,37,Engagement intermédiaire
Wednesday,9:59,9h-11h,text,Administration,10,1,0,11,engagement faible
Tuesday,1:26,Avant 9h,text+link+photo,Information,63,11,0,74,Engagement intermédiaire
Monday,12:49,11h-14h,text+link+video,Identite,39,32,0,71,Engagement intermédiaire
Monday,10:08,9h-11h,text+photo,Identite,70,4,0,74,Engagement intermédiaire
Friday,13:35,11h-14h,text+photo,Identite,14,0,0,14,engagement faible
Friday,13:35,11h-14h,text,Administration,14,1,0,15,engagement faible
Wednesday,13:51,11h-14h,text+link+photo,Identite,57,9,0,66,Engagement intermédiaire
Wednesday,13:29,11h-14h,photo,Identite,34,3,0,37,Engagement intermédiaire
Tuesday,10:33,9h-11h,photo,Identite,28,0,0,28,engagement faible
Monday,10:54,9h-11h,text+photo,Identite,50,16,0,66,Engagement intermédiaire
Friday,10:15,9h-11h,text+link,Information,24,2,0,26,engagement faible
Wednesday,12:00,11h-14h,photo,Identite,32,1,0,33,Engagement intermédiaire
Monday,15:11,14h-17h,text+photo,Identite,44,5,0,49,Engagement intermédiaire
Friday,15:32,14h-17h, link,Identite,33,0,0,33,Engagement intermédiaire
Thursday,20:49,Après 19h,text+photo,Identite,30,1,0,31,Engagement intermédiaire
Wednesday,14:48,14h-17h,text+photo,Information,92,5,0,97,Engagement fort
Wednesday,10:11,9h-11h,text+link+photo,Identite,18,0,0,18,engagement faible
Monday,12:17,11h-14h,text+photo,Identite,20,2,0,22,engagement faible
Monday,9:36,9h-11h,text+link+photo,Identite,50,2,0,52,Engagement intermédiaire
Friday,11:38,11h-14h,text+photo,Identite,23,0,0,23,engagement faible
Thursday,13:21,11h-14h,text+photo,Identite,13,1,0,14,engagement faible
Thursday,8:31,Avant 9h,text+link,Education,2,0,0,2,pas d'engagement
Wednesday,10:55,9h-11h,text+photo,Education,27,2,0,29,engagement faible
Tuesday,16:12,14h-17h,link,Identite,7,0,0,7,pas d'engagement
Tuesday,11:54,11h-14h,link,Identite,7,0,0,7,pas d'engagement
Monday,15:15,14h-17h,text+photo,Identite,27,16,0,43,Engagement intermédiaire
Monday,10:10,9h-11h,text+link,Education,2,0,0,2,pas d'engagement
Thursday,9:48,9h-11h,text+link+photo,Identite,44,3,0,47,Engagement intermédiaire
Tuesday,12:41,11h-14h,text+link+photo,Identite,44,1,0,45,Engagement intermédiaire
Friday,8:37,Avant 9h,text+link+photo,Identite,36,5,0,41,Engagement intermédiaire
Thursday,10:08,9h-11h,text+link,Education,8,2,0,10,pas d'engagement
Wednesday,9:44,9h-11h,link,Identite,14,0,0,14,engagement faible
Wednesday,9:51,9h-11h,text+link,Education,4,0,0,4,pas d'engagement
Tuesday,11:15,11h-14h,text+photo,Identite,14,2,0,16,engagement faible
Tuesday,8:08,Avant 9h,text+photo,Education,1,0,0,1,pas d'engagement
Wednesday,9:57,9h-11h, link,Identite,11,0,0,11,engagement faible
Wednesday,8:26,Avant 9h,text+link,Identite,5,0,0,5,pas d'engagement
Monday,9:07,9h-11h,text+link,Identite,9,1,0,10,pas d'engagement
Friday,9:47,9h-11h,text+link,Identite,5,1,0,6,pas d'engagement
Wednesday,10:57,9h-11h,text+link,Education,9,0,0,9,pas d'engagement
Tuesday,7:55,Avant 9h,text+video,Identite,20,2,0,22,engagement faible
Wednesday,10:52,9h-11h,text+photo,Identite,22,0,0,22,engagement faible
Friday,13:06,11h-14h, link,Identite,22,0,0,22,engagement faible
Tuesday,9:44,9h-11h,text+photo,Administration,48,5,0,53,Engagement intermédiaire
Tuesday,10:05,9h-11h,text+link,Administration,44,2,0,46,Engagement intermédiaire
Monday,12:49,11h-14h,text+link,Education,24,0,0,24,engagement faible
Thursday,12:46,11h-14h,text+photo,Identite,170,31,0,201,Engagement très fort
Thursday,10:57,9h-11h,text+link+photo,Identite,12,0,0,12,engagement faible
Tuesday,10:12,9h-11h,text+photo,Identite,64,2,0,66,Engagement intermédiaire
Thursday,15:31,14h-17h,text+link+photo,Identite,14,2,0,16,engagement faible
Wednesday,15:54,14h-17h,text+link+photo,Identite,45,2,0,47,Engagement intermédiaire
Wednesday,8:14,Avant 9h, link,Identite,32,1,0,33,Engagement intermédiaire
Tuesday,8:11,Avant 9h,text+link+photo,Identite,24,1,0,25,engagement faible
Monday,15:17,14h-17h,text+photo,Identite,37,2,0,39,Engagement intermédiaire
Monday,11:51,11h-14h, link,Identite,22,0,0,22,engagement faible
Saturday,12:59,11h-14h,text+link+photo,Identite,12,2,0,14,engagement faible
Friday,9:12,9h-11h,text+photo,Identite,87,1,0,88,Engagement fort
Monday,20:42,Après 19h,text+video,Relation,87,3,0,90,Engagement fort
Thursday,15:30,14h-17h,text+link+photo,Identite,49,0,0,49,Engagement intermédiaire
Thursday,12:26,11h-14h, link,Identite,23,0,0,23,engagement faible
Thursday,11:39,11h-14h,text+photo,Identite,64,1,0,65,Engagement intermédiaire
Wednesday,9:15,9h-11h,text+photo,Identite,30,6,0,36,Engagement intermédiaire
Tuesday,8:05,Avant 9h,text+photo,Identite,24,0,0,24,engagement faible
Saturday,9:24,9h-11h,text+photo,Identite,127,7,0,134,Engagement fort
Saturday,18:10,17h-19h,text+photo,Identite,56,2,0,58,Engagement intermédiaire
Friday,8:38,Avant 9h,link,Identite,14,0,0,14,engagement faible
Monday,9:14,9h-11h,text+link+photo,Identite,20,0,0,20,engagement faible
Wednesday,14:28,14h-17h,text+photo,Identite,15,0,0,15,engagement faible
Tuesday,12:18,11h-14h,text+photo,Identite,43,0,0,43,Engagement intermédiaire
Tuesday,9:36,9h-11h,text+link,Identite,13,0,0,13,engagement faible
Tuesday,8:03,Avant 9h,photo,Identite,53,3,0,56,Engagement intermédiaire
Monday,8:33,Avant 9h,text+photo,Identite,11,0,0,11,engagement faible
Friday,13:44,11h-14h,text+link,Administration,30,0,0,30,engagement faible
Friday,11:22,11h-14h,text+link,Administration,58,1,0,59,Engagement intermédiaire
Friday,9:10,9h-11h,text+photo,Identite,11,0,0,11,engagement faible
Thursday,15:38,14h-17h,link,Identite,33,0,0,33,Engagement intermédiaire
Wednesday,16:07,14h-17h,text+photo,Administration,8,0,0,8,pas d'engagement
Wednesday,12:30,11h-14h,text+photo,Education,2,0,0,2,pas d'engagement
Wednesday,9:15,9h-11h,text+photo,Identite,11,0,0,11,engagement faible
Monday,11:52,11h-14h,text+link+photo,Identite,16,1,0,17,engagement faible
Sunday,9:14,9h-11h,text+link,Identite,32,1,0,33,Engagement intermédiaire
Wednesday,14:59,14h-17h,text+link,Administration,14,4,0,18,engagement faible
Thursday,10:27,9h-11h,text+link+photo,Relation,82,3,0,85,Engagement fort
Tuesday,19:52,Après 19h,text+link,Information,20,1,0,21,engagement faible
Friday,8:26,Avant 9h,text+link,Administration,30,3,0,33,Engagement intermédiaire
Tuesday,13:26,11h-14h,text+link,Identite,12,1,0,13,engagement faible
Saturday,16:56,14h-17h,text+link,Administration,28,1,0,29,engagement faible
Saturday,16:32,14h-17h,text+link,Administration,21,1,0,22,engagement faible
Friday,11:27,11h-14h,text+link,Information,32,0,0,32,Engagement intermédiaire
Thursday,14:52,14h-17h,text+link,Identite,44,0,0,44,Engagement intermédiaire
Tuesday,14:46,14h-17h,text+link,Administration,26,1,0,27,engagement faible
Monday,14:15,14h-17h,text+link,Identite,9,2,0,11,engagement faible
Friday,13:31,11h-14h,text+link,Administration,24,3,0,27,engagement faible
Friday,12:12,11h-14h,text+link,Identite,16,0,0,16,engagement faible
Thursday,16:22,14h-17h,photo,Relation,74,9,0,83,Engagement fort
Friday,15:32,14h-17h,text+link,Administration,17,0,0,17,engagement faible
Thursday,14:28,14h-17h,text+link,Identite,23,4,0,27,engagement faible
Wednesday,12:10,11h-14h,text+photo,Identite,138,1,0,139,Engagement fort
Tuesday,14:47,14h-17h,text+link,Identite,15,2,0,17,engagement faible
Thursday,23:35,Après 19h,text+link,Identite,34,0,0,34,Engagement intermédiaire
Saturday,17:48,17h-19h,text+link,Identite,25,0,0,25,engagement faible
Tuesday,19:36,Après 19h,text+link,Identite,49,0,0,49,Engagement intermédiaire
Friday,13:00,11h-14h,text+link,Identite,59,5,0,64,Engagement intermédiaire
Tuesday,21:18,Après 19h,text+link,Administration,20,0,0,20,engagement faible
Tuesday,13:54,11h-14h,text+link,Administration,19,2,0,21,engagement faible
Tuesday,13:47,11h-14h,text+link,Information,21,0,0,21,engagement faible
Tuesday,12:48,11h-14h,text+link,Information,12,0,0,12,engagement faible
Tuesday,11:31,11h-14h,text+link+photo,Relation,63,5,0,68,Engagement intermédiaire
Saturday,10:59,9h-11h,text+link,Administration,29,2,0,31,Engagement intermédiaire
Friday,18:09,17h-19h,text+link,Administration,9,0,0,9,pas d'engagement
Thursday,15:02,14h-17h,text+link,Identite,21,0,0,21,engagement faible
Wednesday,16:31,14h-17h,text+link,Administration,7,0,0,7,pas d'engagement
Monday,12:11,11h-14h,text+link,Information,22,1,0,23,engagement faible
Friday,12:54,11h-14h,text+link,Identite,14,1,0,15,engagement faible
Friday,23:48,Après 19h,text+link,Identite,10,4,0,14,engagement faible
Friday,10:32,9h-11h,text+link,Identite,32,0,0,32,Engagement intermédiaire
Friday,15:00,14h-17h,text+link,Identite,164,10,0,174,Engagement fort
Tuesday,19:00,17h-19h,text+photo,Information,33,1,0,34,Engagement intermédiaire
Tuesday,11:30,11h-14h,text+link,Identite,40,3,0,43,Engagement intermédiaire
Friday,10:48,9h-11h,text+link,Identite,25,0,0,25,engagement faible
Monday,19:00,17h-19h,text+link,Identite,13,0,0,13,engagement faible
Sunday,9:49,9h-11h,text+photo,Relation,51,3,0,54,Engagement intermédiaire
Monday,14:42,14h-17h,text+photo,Identite,16,7,0,23,engagement faible
Saturday,19:38,Après 19h,text+link+photo,Identite,96,7,0,103,Engagement fort
Saturday,14:24,14h-17h,link,Identite,42,0,0,42,Engagement intermédiaire
Friday,16:53,14h-17h,text+link,Identite,17,1,0,18,engagement faible
Tuesday,18:29,17h-19h,text+link,Information,100,17,0,117,Engagement fort
Tuesday,15:07,14h-17h,text+link,Information,94,12,0,106,Engagement fort
Tuesday,23:26,Après 19h,text+photo,Identite,29,10,0,39,Engagement intermédiaire
Sunday,7:12,Avant 9h,video,Identite,22,2,0,24,engagement faible
Friday,22:41,Après 19h,text+video,Identite,22,8,0,30,engagement faible
Thursday,15:45,14h-17h,text+video,Identite,24,4,0,28,engagement faible
Monday,15:39,14h-17h,text+photo,Identite,18,1,0,19,engagement faible
Monday,12:17,11h-14h,text+photo,Administration,12,2,0,14,engagement faible
Friday,13:07,11h-14h,text+link,Identite,7,4,0,11,engagement faible
Monday,11:26,11h-14h,text+photo,Identite,9,0,0,9,pas d'engagement
Saturday,9:54,9h-11h,text+link,Identite,16,0,0,16,engagement faible
Friday,16:13,14h-17h,text+photo,Identite,9,2,0,11,engagement faible
Friday,8:36,Avant 9h,text+link,Identite,40,6,0,46,Engagement intermédiaire
Tuesday,18:57,17h-19h,video,Identite,5,0,0,5,pas d'engagement
Tuesday,11:36,11h-14h,text+photo,Identite,20,4,0,24,engagement faible
Sunday,20:20,Après 19h,text+link,Identite,34,0,0,34,Engagement intermédiaire
Monday,12:40,11h-14h,text+link,Relation,49,3,0,52,Engagement intermédiaire
Friday,12:07,11h-14h,text+link,Identite,117,26,0,143,Engagement fort
Sunday,18:00,17h-19h,text+link,Relation,48,2,0,50,Engagement intermédiaire
Thursday,12:00,11h-14h,text+photo,Information,162,9,0,171,Engagement fort
Sunday,14:00,11h-14h,text+photo,Relation,42,2,0,44,Engagement intermédiaire
Wednesday,8:41,Avant 9h,text+photo,Relation,42,6,0,48,Engagement intermédiaire
Friday,15:52,14h-17h,text+video,Relation,41,7,0,48,Engagement intermédiaire
Monday,12:09,11h-14h,text+photo,Identite,73,1,0,74,Engagement intermédiaire
Tuesday,6:50,Avant 9h,text+video,Identite,75,28,0,103,Engagement fort
Wednesday,13:27,11h-14h,text+link+photo,Identite,30,5,0,35,Engagement intermédiaire
Wednesday,9:00,Avant 9h,text+video,Identite,191,38,0,229,Engagement très fort
Friday,7:55,Avant 9h,text+link+photo,Identite,61,1,0,62,Engagement intermédiaire
Monday,2:08,Avant 9h,text+link+photo,Identite,43,7,0,50,Engagement intermédiaire
Friday,8:17,Avant 9h,text+video,Relation,31,0,0,31,Engagement intermédiaire
Saturday,12:09,11h-14h,text+photo,Information,191,8,0,199,Engagement fort
Saturday,11:24,11h-14h,link,Identite,42,1,0,43,Engagement intermédiaire
Tuesday,15:00,14h-17h,text+photo,Identite,57,5,0,62,Engagement intermédiaire
Thursday,9:47,9h-11h,text+photo,Information,122,4,0,126,Engagement fort
Tuesday,11:12,11h-14h,text+photo,Identite,43,2,0,45,Engagement intermédiaire
Monday,13:32,11h-14h,text+photo,Identite,36,4,0,40,Engagement intermédiaire
Monday,11:04,11h-14h,text+photo,Identite,45,5,0,50,Engagement intermédiaire
Friday,12:56,11h-14h,text+link,Identite,39,7,0,46,Engagement intermédiaire
Tuesday,19:31,Après 19h,text+photo,Identite,40,3,0,43,Engagement intermédiaire
Wednesday,14:03,14h-17h,text+link,Identite,15,0,0,15,engagement faible
Tuesday,15:16,14h-17h,text+link,Identite,49,0,0,49,Engagement intermédiaire
Monday,18:38,17h-19h,text+link,Identite,19,0,0,19,engagement faible
Monday,13:39,11h-14h,text+link+photo,Identite,36,4,0,40,Engagement intermédiaire
Sunday,19:59,Après 19h,text+link,Identite,34,5,0,39,Engagement intermédiaire
Saturday,17:23,17h-19h,text+link,Identite,11,1,0,12,engagement faible
Friday,15:06,14h-17h,text+link,Identite,14,0,0,14,engagement faible
Friday,10:14,9h-11h,text+link+photo,Identite,27,2,0,29,engagement faible
Thursday,15:38,14h-17h,text+link,Administration,35,14,0,49,Engagement intermédiaire
Thursday,14:29,14h-17h,text+link,Identite,39,0,0,39,Engagement intermédiaire
Wednesday,12:05,11h-14h,text+link,Identite,26,1,0,27,engagement faible
Monday,19:37,Après 19h,text+link,Relation,21,0,0,21,engagement faible
Monday,7:12,Avant 9h,text+link,Identite,11,2,0,13,engagement faible
Monday,8:30,Avant 9h,text+photo,Identite,21,0,0,21,engagement faible
Sunday,19:54,Après 19h,text+link+photo,Identite,13,1,0,14,engagement faible
Sunday,9:19,9h-11h,text+link,Identite,20,0,0,20,engagement faible
Saturday,20:31,Après 19h,text+link+photo,Identite,33,2,0,35,Engagement intermédiaire
Saturday,20:31,Après 19h,text+photo,Identite,12,1,0,13,engagement faible
Thursday,17:17,17h-19h,text+link,Identite,38,0,0,38,Engagement intermédiaire
Thursday,12:23,11h-14h,text+link ,Identite,20,0,0,20,engagement faible
Thursday,9:00,Avant 9h,text+link ,Identite,36,1,0,37,Engagement intermédiaire
Wednesday,15:11,14h-17h,text+photo,Identite,34,0,0,34,Engagement intermédiaire
Wednesday,13:15,11h-14h,text+link,Identite,58,2,0,60,Engagement intermédiaire
Tuesday,14:30,14h-17h,text+link,Information,21,0,0,21,engagement faible
Tuesday,12:44,11h-14h,text+link+photo,Identite,48,9,0,57,Engagement intermédiaire
Monday,10:22,9h-11h,text+link+photo,Identite,25,2,0,27,engagement faible
Sunday,18:01,17h-19h,text+link,Identite,12,0,0,12,engagement faible
Saturday,11:03,11h-14h,text+photo,Identite,8,1,0,9,pas d'engagement
Friday,17:39,17h-19h,text+photo,Identite,47,2,0,49,Engagement intermédiaire
Friday,6:09,Avant 9h,text+link,Identite,42,0,0,42,Engagement intermédiaire
Wednesday,13:54,11h-14h,text+link,Identite,34,2,0,36,Engagement intermédiaire
Tuesday,16:05,14h-17h,text+link ,Information,225,41,0,266,Engagement très fort
Sunday,10:25,9h-11h,text+photo ,Identite,20,2,0,22,engagement faible
Saturday,16:50,14h-17h,text+link,Identite,57,3,0,60,Engagement intermédiaire
Friday,9:49,9h-11h,text+link,Identite,8,0,0,8,pas d'engagement
Tuesday,15:52,14h-17h,text+link,Relation,21,0,0,21,engagement faible
Wednesday,12:12,11h-14h,text+link+photo,Identite,51,8,0,59,Engagement intermédiaire
Wednesday,9:00,Avant 9h,text+photo,Identite,10,1,0,11,engagement faible
Tuesday,10:21,9h-11h,text+photo,Identite,14,3,0,17,engagement faible
Tuesday,20:00,Après 19h,text+photo,Information,73,11,0,84,Engagement fort
Monday,8:36,Avant 9h,text+link+photo,Identite,24,9,0,33,Engagement intermédiaire
Sunday,19:01,Après 19h,text+link,Identite,10,0,0,10,pas d'engagement
Sunday,11:07,11h-14h,text+link+photo,Identite,21,6,0,27,engagement faible
Saturday,18:46,17h-19h,text+link,Identite,31,2,0,33,Engagement intermédiaire
Friday,15:00,14h-17h,text+link,Identite,20,0,0,20,engagement faible
Friday,12:22,11h-14h,text+photo,Identite,13,0,0,13,engagement faible
Thursday,15:37,14h-17h,text+photo ,Identite,15,0,0,15,engagement faible
Monday,8:30,Avant 9h,text+video,Relation,13,3,0,16,engagement faible
Wednesday,9:24,9h-11h,text+link,Identite,11,0,0,11,engagement faible
Tuesday,14:53,14h-17h,text+link ,Identite,11,0,0,11,engagement faible
Monday,9:34,9h-11h,text+link,Identite,5,0,0,5,pas d'engagement
Sunday,16:55,14h-17h,text+link,Identite,15,1,0,16,engagement faible
Saturday,18:19,17h-19h,text+photo ,Identite,18,2,0,20,engagement faible
Saturday,9:03,9h-11h,text+photo ,Identite,65,3,0,68,Engagement intermédiaire
